# ANA B787 AOM PI.20.26  Flap Maneuver Speed  /  Sea Level Pressure Altitude
"# Effect. DEC 16, 2024  Rev.34   All Engines   speeds in KIAS"
# Flaps 25 maneuver speed based on VREF25 / Flaps 30 maneuver speed based on VREF30
# NOTE: 787-10 shows UP=234 at BOTH 440 and 420 (as printed; verify against original)
VARIANT,WEIGHT_1000LB,FLAP,KIAS
787-9/TRENT1000-AE,360,25,145
787-9/TRENT1000-AE,360,30,140
787-9/TRENT1000-AE,340,UP,216
787-9/TRENT1000-AE,340,1,191
787-9/TRENT1000-AE,340,5,176
787-9/TRENT1000-AE,340,10,161
787-9/TRENT1000-AE,340,15/17/18,156
787-9/TRENT1000-AE,340,20,151
787-9/TRENT1000-AE,340,25,141
787-9/TRENT1000-AE,340,30,136
787-9/TRENT1000-AE,320,UP,212
787-9/TRENT1000-AE,320,1,187
787-9/TRENT1000-AE,320,5,172
787-9/TRENT1000-AE,320,10,157
787-9/TRENT1000-AE,320,15/17/18,152
787-9/TRENT1000-AE,320,20,147
787-9/TRENT1000-AE,320,25,136
787-9/TRENT1000-AE,320,30,132
787-9/TRENT1000-AE,300,UP,208
787-9/TRENT1000-AE,300,1,183
787-9/TRENT1000-AE,300,5,168
787-9/TRENT1000-AE,300,10,153
787-9/TRENT1000-AE,300,15/17/18,148
787-9/TRENT1000-AE,300,20,143
787-9/TRENT1000-AE,300,25,132
787-9/TRENT1000-AE,300,30,127
787-9/TRENT1000-AE,280,UP,205
787-9/TRENT1000-AE,280,1,180
787-9/TRENT1000-AE,280,5,165
787-9/TRENT1000-AE,280,10,150
787-9/TRENT1000-AE,280,15/17/18,145
787-9/TRENT1000-AE,280,20,139
787-9/TRENT1000-AE,280,25,127
787-9/TRENT1000-AE,280,30,124
787-9/TRENT1000-K,560,UP,253
787-9/TRENT1000-K,560,1,238
787-9/TRENT1000-K,560,5,208
787-9/TRENT1000-K,560,10,198
787-9/TRENT1000-K,560,15/17/18,193
787-9/TRENT1000-K,560,20,188
787-9/TRENT1000-K,560,25,179
787-9/TRENT1000-K,560,30,174
787-9/TRENT1000-K,540,UP,253
787-9/TRENT1000-K,540,1,238
787-9/TRENT1000-K,540,5,208
787-9/TRENT1000-K,540,10,197
787-9/TRENT1000-K,540,15/17/18,192
787-9/TRENT1000-K,540,20,187
787-9/TRENT1000-K,540,25,178
787-9/TRENT1000-K,540,30,172
787-9/TRENT1000-K,520,UP,253
787-9/TRENT1000-K,520,1,236
787-9/TRENT1000-K,520,5,208
787-9/TRENT1000-K,520,10,194
787-9/TRENT1000-K,520,15/17/18,189
787-9/TRENT1000-K,520,20,184
787-9/TRENT1000-K,520,25,175
787-9/TRENT1000-K,520,30,169
787-9/TRENT1000-K,500,UP,253
787-9/TRENT1000-K,500,1,231
787-9/TRENT1000-K,500,5,205
787-9/TRENT1000-K,500,10,191
787-9/TRENT1000-K,500,15/17/18,186
787-9/TRENT1000-K,500,20,181
787-9/TRENT1000-K,500,25,171
787-9/TRENT1000-K,500,30,166
787-9/TRENT1000-K,480,UP,249
787-9/TRENT1000-K,480,1,227
787-9/TRENT1000-K,480,5,202
787-9/TRENT1000-K,480,10,187
787-9/TRENT1000-K,480,15/17/18,182
787-9/TRENT1000-K,480,20,177
787-9/TRENT1000-K,480,25,168
787-9/TRENT1000-K,480,30,162
787-9/TRENT1000-K,460,UP,244
787-9/TRENT1000-K,460,1,222
787-9/TRENT1000-K,460,5,199
787-9/TRENT1000-K,460,10,184
787-9/TRENT1000-K,460,15/17/18,179
787-9/TRENT1000-K,460,20,174
787-9/TRENT1000-K,460,25,164
787-9/TRENT1000-K,460,30,159
787-9/TRENT1000-K,440,UP,239
787-9/TRENT1000-K,440,1,217
787-9/TRENT1000-K,440,5,195
787-9/TRENT1000-K,440,10,180
787-9/TRENT1000-K,440,15/17/18,175
787-9/TRENT1000-K,440,20,170
787-9/TRENT1000-K,440,25,160
787-9/TRENT1000-K,440,30,155
787-9/TRENT1000-K,420,UP,232
787-9/TRENT1000-K,420,1,212
787-9/TRENT1000-K,420,5,192
787-9/TRENT1000-K,420,10,177
787-9/TRENT1000-K,420,15/17/18,172
787-9/TRENT1000-K,420,20,166
787-9/TRENT1000-K,420,25,157
787-9/TRENT1000-K,420,30,151
787-9/TRENT1000-K,400,UP,228
787-9/TRENT1000-K,400,1,207
787-9/TRENT1000-K,400,5,188
787-9/TRENT1000-K,400,10,173
787-9/TRENT1000-K,400,15/17/18,168
787-9/TRENT1000-K,400,20,163
787-9/TRENT1000-K,400,25,153
787-9/TRENT1000-K,400,30,148
787-9/TRENT1000-K,380,UP,224
787-9/TRENT1000-K,380,1,202
787-9/TRENT1000-K,380,5,184
787-9/TRENT1000-K,380,10,169
787-9/TRENT1000-K,380,15/17/18,164
787-9/TRENT1000-K,380,20,159
787-9/TRENT1000-K,380,25,149
787-9/TRENT1000-K,380,30,144
787-9/TRENT1000-K,360,UP,220
787-9/TRENT1000-K,360,1,196
787-9/TRENT1000-K,360,5,180
787-9/TRENT1000-K,360,10,165
787-9/TRENT1000-K,360,15/17/18,160
787-9/TRENT1000-K,360,20,155
787-9/TRENT1000-K,360,25,145
787-9/TRENT1000-K,360,30,140
787-9/TRENT1000-K,340,UP,216
787-9/TRENT1000-K,340,1,191
